Postal Code,Project Name,Planning Region,Planning Area,Market segment,Property Type,Postal District,Tenure Group,Latitude,Longitude,MRT Distance (km),School Distance (km),Top School Distance (km),Top School 1km,Top School 2km
329505,BALESTIER REGENCY,Central Region,Novena,RCR,Apartment,12,Freehold,1.325323601618509,103.8517764390376,0.9413,1.035,1.035,0.0,1.0
268847,SPANISH VILLAGE,Central Region,Tanglin,CCR,Condominium,10,Freehold,1.314877763496738,103.8063177924569,0.2984,0.534,0.534,1.0,1.0
258263,ROBIN RESIDENCES,Central Region,Tanglin,CCR,Condominium,10,Freehold,1.318783631091409,103.8282066594116,0.2755,0.4759,0.4759,1.0,1.0
507029,CELADON VIEW,East Region,Pasir Ris,OCR,Apartment,17,999-yr,1.378349857063732,103.9565913518801,1.0046,0.6817,3.1925,0.0,0.0
127712,THE INFINITI,West Region,Clementi,OCR,Condominium,5,Freehold,1.319534540037006,103.7550410653147,1.2258,1.1559,1.5175,0.0,1.0
597090,FREESIA WOODS,West Region,Clementi,OCR,Condominium,21,Freehold,1.32368775895356,103.7662069192456,0.9507,0.6727,0.6727,1.0,1.0
429754,N.A.,Central Region,Geylang,RCR,Apartment,15,Freehold,1.314320482338085,103.8971931824914,0.6234,0.5958,1.5472,0.0,1.0
426536,THE ARIEL,Central Region,Geylang,RCR,Apartment,15,Freehold,1.315925320717172,103.9029874603604,0.4295,0.4259,1.3343,0.0,1.0
507010,DAHLIA PARK CONDOMINIUM,East Region,Pasir Ris,OCR,Condominium,17,Freehold,1.359274373819099,103.965984765475,1.1965,1.0128,2.5586,0.0,0.0
288415,D'CHATEAU @ SHELFORD,Central Region,Bukit Timah,CCR,Apartment,11,Freehold,1.328096147672027,103.8119882624595,0.5649,0.9257,0.9257,1.0,1.0
279989,ROYALGREEN,Central Region,Bukit Timah,CCR,Condominium,10,Freehold,1.331726871261538,103.7939726019078,0.2758,1.3204,1.3204,0.0,1.0
